"PVWatts Hourly PV Performance Data"
"Requested Location","3 Dean street millis ma"
"Location","Lat, Lng: 42.13, -71.34"
"Latitude (DD)","42.13"
"Longitude (DD)","-71.34"
"Elevation (m)","52.200000762939"
"DC System Size (kW)","21.360"
"Module Type","Premium"
"Array Type","2-Axis Tracking"
"Array Tilt (deg)","0"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.068"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","Yes (0.7)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","0","0.7","0.87","0","0","0","0"
"1","1","1","0","0","0","0.7","0.87","0","0","0","0"
"1","1","2","0","0","0","0.7","0.87","0","0","0","0"
"1","1","3","0","0","0","0.7","0.87","0","0","0","0"
"1","1","4","0","0","0","0.8","0.87","0","0","0","0"
"1","1","5","0","0","0","0.8","0.87","0","0","0","0"
"1","1","6","0","0","0","0.8","0.87","0","0","0","0"
"1","1","7","0","9","0","0.9","0.87","8.393","0.12","90.833","0"
"1","1","8","70","67","0","0.9","0.87","210.526","5.802","3975.625","3739.627"
"1","1","9","733","77","0","0.9","0.87","987.841","30.093","18055.239","17320.345"
"1","1","10","722","72","0","1","0.87","959.222","28.506","17592.404","16873.91"
"1","1","11","649","99","0","1","0.87","939.017","27.445","17225.268","16519.783"
"1","1","12","687","88","0","1","0.87","958.762","28.249","17555.479","16838.293"
"1","1","13","625","85","0","1","0.87","882.797","26.118","16331.904","15658.074"
"1","1","14","473","74","0","1","0.87","698.319","20.529","13144.893","12583.991"
"1","1","15","261","47","-1","1","0.87","423.334","11.234","7834.543","7461.808"
"1","1","16","0","0","-2","1","0.87","0","-2","0","0"
"1","1","17","0","0","-3","0.9","0.87","0","-3","0","0"
"1","1","18","0","0","-5","0.9","0.87","0","-5","0","0"
"1","1","19","0","0","-6","0.8","0.87","0","-6","0","0"
"1","1","20","0","0","-7","0.8","0.87","0","-7","0","0"
"1","1","21","0","0","-8","0.8","0.87","0","-8","0","0"
"1","1","22","0","0","-9","0.7","0.87","0","-9","0","0"
"1","1","23","0","0","-10","0.7","0.87","0","-10","0","0"
"1","2","0","0","0","-10","0.8","0.87","0","-10","0","0"
"1","2","1","0","0","-11","0.9","0.87","0","-11","0","0"
"1","2","2","0","0","-11","1","0.87","0","-11","0","0"
"1","2","3","0","0","-11","1","0.87","0","-11","0","0"
"1","2","4","0","0","-11","1","0.87","0","-11","0","0"
"1","2","5","0","0","-11","1","0.87","0","-11","0","0"
"1","2","6","0","0","-11","1","0.87","0","-11","0","0"
"1","2","7","283","13","-10","0.8","0.87","295.155","-2.215","3748.79","3520.83"
"1","2","8","667","45","-7","0.6","0.87","839.676","20.756","15656.93","15007.017"
"1","2","9","795","66","-5","0.6","0.87","1027.375","29.042","18861.3","18097.844"
"1","2","10","850","79","-3","0.7","0.87","1112.428","32.805","20081.286","19274.601"
"1","2","11","872","85","-1","0.8","0.87","1157.887","34.866","20687.83","19859.653"
"1","2","12","531","128","-1","0.8","0.87","840.794","24.687","15555.735","14909.408"
"1","2","13","181","152","-1","0.8","0.87","458.753","12.183","8777.21","8371.073"
"1","2","14","477","79","-1","0.8","0.87","710.529","20.962","13356.79","12788.38"
"1","2","15","506","42","-2","0.8","0.87","670.257","18.758","12251.779","11722.524"
"1","2","16","0","0","-3","0.8","0.87","0","-3","0","0"
"1","2","17","0","0","-4","0.9","0.87","0","-4","0","0"
"1","2","18","0","0","-5","0.8","0.87","0","-5","0","0"
"1","2","19","0","0","-7","0.8","0.87","0","-7","0","0"
"1","2","20","0","0","-9","0.8","0.87","0","-9","0","0"
"1","2","21","0","0","-10","0.8","0.87","0","-10","0","0"
"1","2","22","0","0","-11","0.8","0.87","0","-11","0","0"
"1","2","23","0","0","-12","0.8","0.87","0","-12","0","0"
"1","3","0","0","0","-12","0.8","0.87","0","-12","0","0"
"1","3","1","0","0","-13","0.8","0.87","0","-13","0","0"
"1","3","2","0","0","-13","0.8","0.87","0","-13","0","0"
"1","3","3","0","0","-14","0.7","0.87","0","-14","0","0"
"1","3","4","0","0","-15","0.7","0.87","0","-15","0","0"
"1","3","5","0","0","-16","0.8","0.87","0","-16","0","0"
"1","3","6","0","0","-16","0.9","0.87","0","-16","0","0"
"1","3","7","300","13","-15","0.8","0.87","312.158","-6.758","4032.863","3794.837"
"1","3","8","705","44","-12","0.6","0.87","878.798","17.086","16601.518","15918.135"
"1","3","9","844","61","-10","0.5","0.87","1072.509","26.66","19858.632","19059.836"
"1","3","10","902","72","-8","0.5","0.87","1157.956","31.542","20996.973","20000"
"1","3","11","920","77","-6","0.5","0.87","1198.127","34.45","21436.465","20000"
"1","3","12","906","78","-5","0.5","0.87","1179.242","34.973","21071.693","20000"
"1","3","13","857","73","-5","0.6","0.87","1110.006","31.789","20138.889","19330.162"
"1","3","14","754","61","-5","0.6","0.87","971.077","27.159","17933.465","17202.886"
"1","3","15","535","39","-7","0.7","0.87","696.699","15.243","12925.207","12372.09"
"1","3","16","0","0","-8","0.8","0.87","0","-8","0","0"
"1","3","17","0","0","-8","0.9","0.87","0","-8","0","0"
"1","3","18","0","0","-8","0.9","0.87","0","-8","0","0"
"1","3","19","0","0","-8","0.8","0.87","0","-8","0","0"
"1","3","20","0","0","-8","0.8","0.87","0","-8","0","0"
"1","3","21","0","0","-8","0.7","0.87","0","-8","0","0"
"1","3","22","0","0","-7","0.7","0.87","0","-7","0","0"
"1","3","23","0","0","-7","0.7","0.87","0","-7","0","0"
"1","4","0","0","0","-8","0.8","0.87","0","-8","0","0"
"1","4","1","0","0","-7","0.8","0.87","0","-7","0","0"
"1","4","2","0","0","-7","0.8","0.87","0","-7","0","0"
"1","4","3","0","0","-7","0.7","0.87","0","-7","0","0"
"1","4","4","0","0","-6","0.7","0.87","0","-6","0","0"
"1","4","5","0","0","-6","0.7","0.87","0","-6","0","0"
"1","4","6","0","0","-5","0.7","0.87","0","-5","0","0"
"1","4","7","0","8","-4","0.7","0.87","7.456","-3.888","81.772","0"
"1","4","8","0","62","-2","0.6","0.87","91.86","0.299","1710.514","1554.778"
"1","4","9","531","81","0","0.7","0.87","773.965","24.684","14392.779","13787.66"
"1","4","10","339","145","0","0.8","0.87","635.303","18.972","11956.713","11437.914"
"1","4","11","820","94","1","0.8","0.87","1124.215","35.711","20015.263","19210.917"
"1","4","12","803","97","1","0.9","0.87","1105.881","34.374","19794.65","18998.121"
"1","4","13","745","92","1","0.9","0.87","1026.972","32.214","18589.661","17835.83"
"1","4","14","55","105","0","0.8","0.87","232.365","6.277","4447.118","4194.413"
"1","4","15","62","51","0","0.8","0.87","179.269","5.093","3308.11","3095.765"
"1","4","16","0","0","0","0.8","0.87","0","0","0","0"
"1","4","17","0","0","0","0.8","0.87","0","0","0","0"
"1","4","18","0","0","0","0.8","0.87","0","0","0","0"
"1","4","19","0","0","-1","0.8","0.87","0","-1","0","0"
"1","4","20","0","0","-1","0.7","0.87","0","-1","0","0"
"1","4","21","0","0","-1","0.7","0.87","0","-1","0","0"
"1","4","22","0","0","-2","0.8","0.87","0","-2","0","0"
"1","4","23","0","0","-2","0.8","0.87","0","-2","0","0"
"1","5","0","0","0","-2","0.8","0.87","0","-2","0","0"
"1","5","1","0","0","-2","0.8","0.87","0","-2","0","0"
"1","5","2","0","0","-3","0.7","0.87","0","-3","0","0"
"1","5","3","0","0","-3","0.7","0.87","0","-3","0","0"
"1","5","4","0","0","-3","0.7","0.87","0","-3","0","0"
"1","5","5","0","0","-3","0.7","0.87","0","-3","0","0"
"1","5","6","0","0","-3","0.7","0.87","0","-3","0","0"
"1","5","7","143","15","-2","0.7","0.87","157.005","2.16","1922.986","1759.721"
"1","5","8","556","56","0","0.7","0.87","751.913","24.026","13834.593","13249.253"
"1","5","9","722","80","1","0.7","0.87","981.06","32.493","17774.328","17049.387"
"1","5","10","810","90","2","0.7","0.87","1094.398","37.175","19429.846","18646.244"
"1","5","11","837","96","2","0.8","0.87","1144.45","37.401","20243.859","19431.413"
"1","5","12","846","91","2","0.7","0.87","1135.943","38.163","20053.584","19247.88"
"1","5","13","556","100","2","0.6","0.87","831.817","29.192","15197.512","14563.878"
"1","5","14","583","63","1","0.5","0.87","798.514","28.139","14673.779","14058.703"
"1","5","15","553","40","-1","0.6","0.87","717.846","22.594","13031.798","12474.904"
"1","5","16","0","0","-2","0.8","0.87","0","-2","0","0"
"1","5","17","0","0","-2","0.8","0.87","0","-2","0","0"
"1","5","18","0","0","-3","0.7","0.87","0","-3","0","0"
"1","5","19","0","0","-3","0.7","0.87","0","-3","0","0"
"1","5","20","0","0","-3","0.8","0.87","0","-3","0","0"
"1","5","21","0","0","-3","0.9","0.87","0","-3","0","0"
"1","5","22","0","0","-2","0.7","0.87","0","-2","0","0"
"1","5","23","0","0","-2","0.3","0.87","0","-2","0","0"
"1","6","0","0","0","-2","0.4","0.87","0","-2","0","0"
"1","6","1","0","0","-2","0.6","0.87","0","-2","0","0"
"1","6","2","0","0","-3","0.5","0.87","0","-3","0","0"
"1","6","3","0","0","-3","0.5","0.87","0","-3","0","0"
"1","6","4","0","0","-3","0.5","0.87","0","-3","0","0"
"1","6","5","0","0","-3","0.5","0.87","0","-3","0","0"
"1","6","6","0","0","-2","0.5","0.87","0","-2","0","0"
"1","6","7","0","16","-1","0.5","0.87","14.923","-0.762","166.09","65.08"
"1","6","8","393","73","0","0.6","0.87","609.381","19.722","11329.809","10833.224"
"1","6","9","584","105","0","0.6","0.87","866.427","28.244","15914.54","15255.499"
"1","6","10","706","115","1","0.7","0.87","1020.083","33.482","18342.353","17597.285"
"1","6","11","751","119","2","0.7","0.87","1088.218","36.263","19318.287","18538.638"
"1","6","12","758","114","3","0.6","0.87","1085.837","38.289","19143.862","18370.393"
"1","6","13","725","101","3","0.6","0.87","1019.606","36.518","18158.508","17419.954"
"1","6","14","628","82","2","0.5","0.87","879.741","31.736","15961.424","15300.722"
"1","6","15","424","49","0","0.5","0.87","594.422","19.914","10868.715","10388.468"
"1","6","16","0","0","-1","0.6","0.87","0","-1","0","0"
"1","6","17","0","0","-1","0.6","0.87","0","-1","0","0"
"1","6","18","0","0","0","0.6","0.87","0","0","0","0"
"1","6","19","0","0","0","0.6","0.87","0","0","0","0"
"1","6","20","0","0","0","0.6","0.87","0","0","0","0"
"1","6","21","0","0","0","0.6","0.87","0","0","0","0"
"1","6","22","0","0","0","0.6","0.87","0","0","0","0"
"1","6","23","0","0","-1","0.6","0.87","0","-1","0","0"
"1","7","0","0","0","-1","0.6","0.87","0","-1","0","0"
"1","7","1","0","0","-1","0.6","0.87","0","-1","0","0"
"1","7","2","0","0","-1","0.7","0.87","0","-1","0","0"
"1","7","3","0","0","-1","0.7","0.87","0","-1","0","0"
"1","7","4","0","0","-1","0.7","0.87","0","-1","0","0"
"1","7","5","0","0","-1","0.7","0.87","0","-1","0","0"
"1","7","6","0","0","-1","0.7","0.87","0","-1","0","0"
"1","7","7","105","14","0","0.7","0.87","118.072","3.097","1426.192","1280.531"
"1","7","8","481","65","0","0.7","0.87","683.313","21.666","12659.148","12115.458"
"1","7","9","658","95","1","0.8","0.87","934.674","30.006","17074.701","16374.551"
"1","7","10","799","96","1","0.8","0.87","1092.471","35.117","19536.219","18748.847"
"1","7","11","832","101","2","0.7","0.87","1149.876","38.418","20255.169","19442.322"
"1","7","12","834","98","2","0.6","0.87","1144.442","39.393","20097.724","19290.456"
"1","7","13","802","88","1","0.5","0.87","1082.716","37.825","19195.19","18419.902"
"1","7","14","720","70","0","0.5","0.87","960.355","32.688","17382.998","16671.923"
"1","7","15","529","44","0","0.7","0.87","699.603","22.326","12746.327","12199.549"
"1","7","16","0","0","-1","1","0.87","0","-1","0","0"
"1","7","17","0","0","-1","0.9","0.87","0","-1","0","0"
"1","7","18","0","0","0","0.5","0.87","0","0","0","0"
"1","7","19","0","0","-1","0.6","0.87","0","-1","0","0"
"1","7","20","0","0","-3","0.8","0.87","0","-3","0","0"
"1","7","21","0","0","-4","0.7","0.87","0","-4","0","0"
"1","7","22","0","0","-4","0.7","0.87","0","-4","0","0"
"1","7","23","0","0","-3","0.7","0.87","0","-3","0","0"
"1","8","0","0","0","-3","0.7","0.87","0","-3","0","0"
"1","8","1","0","0","-2","0.7","0.87","0","-2","0","0"
"1","8","2","0","0","-2","0.6","0.87","0","-2","0","0"
"1","8","3","0","0","-2","0.6","0.87","0","-2","0","0"
"1","8","4","0","0","-2","0.6","0.87","0","-2","0","0"
"1","8","5","0","0","-1","0.7","0.87","0","-1","0","0"
"1","8","6","0","0","0","0.7","0.87","0","0","0","0"
"1","8","7","147","15","0","0.7","0.87","161.013","4.271","1958.553","1794.028"
"1","8","8","560","58","0","0.8","0.87","759.367","23.602","14001.717","13410.455"
"1","8","9","724","82","2","0.9","0.87","986.643","32.012","17905.639","17176.045"
"1","8","10","801","94","3","0.9","0.87","1091.234","36.208","19435.478","18651.677"
"1","8","11","602","115","4","0.9","0.87","916.281","31.191","16559.552","15877.656"
"1","8","12","723","83","5","0.8","0.87","993.307","35.749","17689.067","16967.148"
"1","8","13","599","95","4","0.7","0.87","870.644","31.781","15762.791","15109.127"
"1","8","14","595","64","3","0.7","0.87","813.427","29.137","14901.539","14278.392"
"1","8","15","503","47","2","0.7","0.87","676.829","23.557","12287.896","11757.361"
"1","8","16","0","0","1","0.7","0.87","0","0","0","0"
"1","8","17","0","0","0","0.7","0.87","0","0","0","0"
"1","8","18","0","0","0","0.7","0.87","0","0","0","0"
"1","8","19","0","0","0","0.6","0.12","0","0","0","0"
"1","8","20","0","0","0","0.6","0.12","0","0","0","0"
"1","8","21","0","0","0","0.6","0.12","0","0","0","0"
"1","8","22","0","0","0","0.5","0.12","0","0","0","0"
"1","8","23","0","0","0","0.4","0.12","0","0","0","0"
"1","9","0","0","0","0","0.4","0.12","0","0","0","0"
"1","9","1","0","0","0","0.3","0.12","0","0","0","0"
"1","9","2","0","0","0","0.3","0.12","0","0","0","0"
"1","9","3","0","0","0","0.4","0.12","0","0","0","0"
"1","9","4","0","0","-1","0.3","0.12","0","-1","0","0"
"1","9","5","0","0","-1","0.3","0.12","0","-1","0","0"
"1","9","6","0","0","-1","0.2","0.12","0","-1","0","0"
"1","9","7","0","11","0","0.1","0.12","8.735","0.185","94.339","0"
"1","9","8","119","69","0","0.2","0.12","228.877","8.142","4328.118","4079.63"
"1","9","9","234","120","1","0.3","0.12","422.584","15.881","8023.45","7644.022"
"1","9","10","138","168","3","0.4","0.12","357.026","14.897","6736.005","6402.196"
"1","9","11","124","189","4","0.5","0.12","364.995","15.764","6846.136","6508.425"
"1","9","12","140","186","4","0.5","0.12","378.154","16.228","7094.725","6748.206"
"1","9","13","295","147","3","0.5","0.12","511.859","20.051","9605.017","9169.548"
"1","9","14","0","67","3","0.5","0.12","56.874","4.504","1043.639","911.533"
"1","9","15","0","5","3","0.6","0.12","3.879","3.089","62.338","0"
"1","9","16","0","0","3","0.7","0.12","0","0","0","0"
"1","9","17","0","0","4","0.7","0.12","0","4","0","0"
"1","9","18","0","0","4","0.9","0.12","0","4","0","0"
"1","9","19","0","0","4","1","0.12","0","4","0","0"
"1","9","20","0","0","3","1","0.12","0","3","0","0"
"1","9","21","0","0","2","0.9","0.12","0","2","0","0"
"1","9","22","0","0","2","0.9","0.12","0","2","0","0"
"1","9","23","0","0","2","1","0.12","0","2","0","0"
"1","10","0","0","0","2","1.1","0.12","0","2","0","0"
"1","10","1","0","0","2","1.1","0.12","0","2","0","0"
"1","10","2","0","0","2","1.1","0.12","0","2","0","0"
"1","10","3","0","0","2","1.1","0.12","0","2","0","0"
"1","10","4","0","0","1","1","0.12","0","1","0","0"
"1","10","5","0","0","1","1","0.12","0","1","0","0"
"1","10","6","0","0","1","0.9","0.12","0","1","0","0"
"1","10","7","249","14","1","0.9","0.12","260.125","7.706","3177.3","2969.59"
"1","10","8","652","42","2","0.9","0.12","765.08","25.501","14075.919","13482.028"
"1","10","9","794","57","3","1","0.12","925.597","30.844","16952.006","16256.203"
"1","10","10","865","63","4","1","0.12","1000.957","34.129","18069.766","17334.357"
"1","10","11","892","66","4","1","0.12","1021.122","34.607","18361.181","17615.446"
"1","10","12","890","65","5","1","0.12","1017.689","35.518","18245.354","17503.723"
"1","10","13","864","59","5","0.9","0.12","983.879","35.363","17702.675","16980.273"
"1","10","14","783","52","4","0.8","0.12","908.531","32.796","16515.44","15835.107"
"1","10","15","604","36","2","0.8","0.12","709.188","24.293","12933.679","12380.262"
"1","10","16","0","0","1","0.8","0.12","0","0","0","0"
"1","10","17","0","0","0","0.8","0.12","0","0","0","0"
"1","10","18","0","0","0","0.8","0.12","0","0","0","0"
"1","10","19","0","0","0","0.7","0.12","0","0","0","0"
"1","10","20","0","0","-1","0.7","0.12","0","-1","0","0"
"1","10","21","0","0","-2","0.7","0.12","0","-2","0","0"
"1","10","22","0","0","-2","0.6","0.12","0","-2","0","0"
"1","10","23","0","0","-2","0.6","0.12","0","-2","0","0"
"1","11","0","0","0","-2","0.6","0.12","0","-2","0","0"
"1","11","1","0","0","-2","0.6","0.12","0","-2","0","0"
"1","11","2","0","0","-2","0.5","0.12","0","-2","0","0"
"1","11","3","0","0","-2","0.5","0.12","0","-2","0","0"
"1","11","4","0","0","-2","0.5","0.12","0","-2","0","0"
"1","11","5","0","0","-2","0.5","0.12","0","-2","0","0"
"1","11","6","0","0","-2","0.4","0.12","0","-2","0","0"
"1","11","7","0","14","-1","0.3","0.12","11.127","-0.779","121.943","22.497"
"1","11","8","279","63","1","0.3","0.12","423.938","16.156","7948.772","7571.99"
"1","11","9","216","122","2","0.3","0.12","406.896","16.293","7703.756","7335.656"
"1","11","10","253","162","3","0.3","0.12","487.394","20.146","9113.176","8695.134"
"1","11","11","7","155","4","0.3","0.12","155.722","8.86","2902.712","2704.732"
"1","11","12","39","174","3","0.3","0.12","234.246","10.694","4404.622","4153.423"
"1","11","13","0","102","2","0.3","0.12","91.262","4.712","1700.42","1545.042"
"1","11","14","0","64","1","0.3","0.12","53.352","2.487","984.755","854.736"
"1","11","15","0","12","0","0.4","0.12","9.34","0.23","158.413","57.674"
"1","11","16","0","0","0","0.4","0.12","0","0","0","0"
"1","11","17","0","0","1","0.5","0.12","0","1","0","0"
"1","11","18","0","0","1","0.5","0.12","0","1","0","0"
"1","11","19","0","0","1","0.5","0.12","0","1","0","0"
"1","11","20","0","0","1","0.5","0.12","0","1","0","0"
"1","11","21","0","0","1","0.6","0.12","0","1","0","0"
"1","11","22","0","0","2","0.7","0.12","0","2","0","0"
"1","11","23","0","0","2","0.6","0.12","0","2","0","0"
"1","12","0","0","0","2","0.5","0.12","0","2","0","0"
"1","12","1","0","0","2","0.5","0.12","0","2","0","0"
"1","12","2","0","0","2","0.5","0.12","0","2","0","0"
"1","12","3","0","0","2","0.5","0.12","0","2","0","0"
"1","12","4","0","0","2","0.5","0.12","0","2","0","0"
"1","12","5","0","0","2","0.4","0.12","0","2","0","0"
"1","12","6","0","0","2","0.4","0.12","0","2","0","0"
"1","12","7","0","20","2","0.4","0.12","15.905","2.307","174.525","73.215"
"1","12","8","474","57","3","0.3","0.12","615.624","25.253","11290.561","10795.366"
"1","12","9","0","103","3","0.2","0.12","98.07","6.001","1825.371","1665.565"
"1","12","10","0","102","4","0.2","0.12","90.643","6.786","1673.962","1519.521"
"1","12","11","20","167","4","0.2","0.12","183.323","10.002","3425.163","3208.67"
"1","12","12","10","157","4","0.2","0.12","161.435","9.218","3010.377","2808.582"
"1","12","13","0","132","5","0.2","0.12","126.179","8.959","2339.239","2161.225"
"1","12","14","0","4","4","0.3","0.12","3.206","4.089","52.298","0"
"1","12","15","0","2","4","0.5","0.12","1.551","4.037","23.896","0"
"1","12","16","0","0","3","0.7","0.12","0","0","0","0"
"1","12","17","0","0","3","0.6","0.12","0","3","0","0"
"1","12","18","0","0","3","0.4","0.12","0","3","0","0"
"1","12","19","0","0","3","0.4","0.12","0","3","0","0"
"1","12","20","0","0","3","0.4","0.12","0","3","0","0"
"1","12","21","0","0","3","0.4","0.12","0","3","0","0"
"1","12","22","0","0","3","0.4","0.12","0","3","0","0"
"1","12","23","0","0","3","0.4","0.12","0","3","0","0"
"1","13","0","0","0","3","0.5","0.12","0","3","0","0"
"1","13","1","0","0","3","0.5","0.12","0","3","0","0"
"1","13","2","0","0","3","0.4","0.12","0","3","0","0"
"1","13","3","0","0","3","0.4","0.12","0","3","0","0"
"1","13","4","0","0","3","0.4","0.12","0","3","0","0"
"1","13","5","0","0","3","0.4","0.12","0","3","0","0"
"1","13","6","0","0","3","0.4","0.12","0","3","0","0"
"1","13","7","0","1","3","0.4","0.12","0.796","3.015","0","0"
"1","13","8","0","8","4","0.3","0.12","6.268","4.163","103.955","5.146"
"1","13","9","0","60","5","0.3","0.12","48.968","6.374","887.769","761.187"
"1","13","10","0","108","6","0.3","0.12","97.008","8.907","1781.137","1622.898"
"1","13","11","0","112","7","0.3","0.12","100.07","10.031","1827.005","1667.141"
"1","13","12","0","139","8","0.3","0.12","129.905","11.989","2376.51","2197.176"
"1","13","13","72","164","9","0.4","0.12","262.91","17.506","4862.689","4595.259"
"1","13","14","224","114","9","0.4","0.12","406.281","22.87","7513.36","7152.006"
"1","13","15","434","48","8","0.4","0.12","564.887","27.774","10158.442","9703.363"
"1","13","16","0","0","7","0.5","0.12","0","0","0","0"
"1","13","17","0","0","7","0.5","0.12","0","7","0","0"
"1","13","18","0","0","7","0.5","0.12","0","7","0","0"
"1","13","19","0","0","7","0.5","0.12","0","7","0","0"
"1","13","20","0","0","7","0.5","0.12","0","7","0","0"
"1","13","21","0","0","7","0.5","0.12","0","7","0","0"
"1","13","22","0","0","7","0.5","0.12","0","7","0","0"
"1","13","23","0","0","7","0.5","0.12","0","7","0","0"
"1","14","0","0","0","7","0.5","0.12","0","7","0","0"
"1","14","1","0","0","7","0.5","0.12","0","7","0","0"
"1","14","2","0","0","7","0.5","0.12","0","7","0","0"
"1","14","3","0","0","7","0.5","0.12","0","7","0","0"
"1","14","4","0","0","7","0.5","0.12","0","7","0","0"
"1","14","5","0","0","7","0.5","0.12","0","7","0","0"
"1","14","6","0","0","7","0.6","0.12","0","7","0","0"
"1","14","7","0","2","8","0.5","0.12","1.592","8.03","15.292","0"
"1","14","8","3","67","8","0.4","0.12","72.146","10.048","1290.629","1149.772"
"1","14","9","15","117","9","0.4","0.12","131.479","12.94","2414.69","2234.003"
"1","14","10","0","57","10","0.4","0.12","47.594","11.349","842.295","717.324"
"1","14","11","250","189","11","0.5","0.12","514.916","27.993","9334.593","8908.706"
"1","14","12","845","68","10","0.5","0.12","987.697","43.912","17139.874","16437.414"
"1","14","13","813","66","9","0.5","0.12","952.981","41.823","16717.909","16030.401"
"1","14","14","322","106","8","0.5","0.12","516.482","25.373","9530.72","9097.883"
"1","14","15","96","63","7","0.5","0.12","201.42","13.498","3691.102","3465.186"
"1","14","16","0","0","6","0.5","0.12","0","0","0","0"
"1","14","17","0","0","5","0.5","0.12","0","5","0","0"
"1","14","18","0","0","4","0.5","0.12","0","4","0","0"
"1","14","19","0","0","4","0.6","0.12","0","4","0","0"
"1","14","20","0","0","3","0.6","0.12","0","3","0","0"
"1","14","21","0","0","3","0.6","0.12","0","3","0","0"
"1","14","22","0","0","3","0.6","0.12","0","3","0","0"
"1","14","23","0","0","2","0.5","0.12","0","2","0","0"
"1","15","0","0","0","1","0.4","0.12","0","1","0","0"
"1","15","1","0","0","1","0.4","0.12","0","1","0","0"
"1","15","2","0","0","1","0.5","0.12","0","1","0","0"
"1","15","3","0","0","0","0.5","0.12","0","0","0","0"
"1","15","4","0","0","0","0.5","0.12","0","0","0","0"
"1","15","5","0","0","0","0.5","0.12","0","0","0","0"
"1","15","6","0","0","0","0.5","0.12","0","0","0","0"
"1","15","7","174","16","0","0.6","0.12","186.755","5.174","2275.955","2100.184"
"1","15","8","564","51","1","0.6","0.12","699.379","24.243","12922.03","12369.026"
"1","15","9","416","103","3","0.6","0.12","604.538","22.901","11305.666","10809.936"
"1","15","10","336","155","4","0.5","0.12","559.642","22.702","10409.753","9945.769"
"1","15","11","348","175","5","0.3","0.12","594.886","26.03","10913.012","10431.195"
"1","15","12","102","194","4","0.3","0.12","324.905","14.955","6087.444","5776.616"
"1","15","13","69","164","4","0.2","0.12","258.289","12.876","4853.734","4586.622"
"1","15","14","28","114","3","0.3","0.12","162.028","8.221","3051.649","2848.392"
"1","15","15","73","64","2","0.4","0.12","178.852","7.886","3331.021","3117.865"
"1","15","16","0","0","1","0.5","0.12","0","0","0","0"
"1","15","17","0","0","1","0.5","0.12","0","1","0","0"
"1","15","18","0","0","1","0.5","0.12","0","1","0","0"
"1","15","19","0","0","0","0.4","0.12","0","0","0","0"
"1","15","20","0","0","0","0.4","0.12","0","0","0","0"
"1","15","21","0","0","0","0.5","0.12","0","0","0","0"
"1","15","22","0","0","0","0.5","0.12","0","0","0","0"
"1","15","23","0","0","0","0.5","0.12","0","0","0","0"
"1","16","0","0","0","0","0.4","0.12","0","0","0","0"
"1","16","1","0","0","0","0.4","0.12","0","0","0","0"
"1","16","2","0","0","0","0.4","0.12","0","0","0","0"
"1","16","3","0","0","0","0.5","0.12","0","0","0","0"
"1","16","4","0","0","0","0.4","0.12","0","0","0","0"
"1","16","5","0","0","0","0.4","0.12","0","0","0","0"
"1","16","6","0","0","0","0.4","0.12","0","0","0","0"
"1","16","7","0","6","0","0.4","0.12","4.558","0.087","47.884","0"
"1","16","8","0","26","0","0.4","0.12","20.478","0.52","363.002","255.014"
"1","16","9","0","42","0","0.4","0.12","34.265","0.933","626.112","508.801"
"1","16","10","0","70","1","0.3","0.12","58.625","2.717","1082.001","948.536"
"1","16","11","0","118","1","0.2","0.12","106.317","4.337","1986.24","1820.734"
"1","16","12","0","147","1","0.1","0.12","138.731","5.556","2603.685","2416.301"
"1","16","13","0","94","1","0.2","0.12","82.173","3.509","1531.359","1381.971"
"1","16","14","0","47","1","0.3","0.12","38.226","2.063","698.253","578.386"
"1","16","15","0","16","0","0.4","0.12","12.524","0.312","216.348","113.556"
"1","16","16","0","0","0","0.5","0.12","0","0","0","0"
"1","16","17","0","0","0","0.6","0.12","0","0","0","0"
"1","16","18","0","0","0","0.6","0.12","0","0","0","0"
"1","16","19","0","0","0","0.6","0.87","0","0","0","0"
"1","16","20","0","0","0","0.6","0.87","0","0","0","0"
"1","16","21","0","0","0","0.6","0.87","0","0","0","0"
"1","16","22","0","0","0","0.6","0.87","0","0","0","0"
"1","16","23","0","0","0","0.6","0.87","0","0","0","0"
"1","17","0","0","0","-1","0.6","0.87","0","-1","0","0"
"1","17","1","0","0","-1","0.6","0.87","0","-1","0","0"
"1","17","2","0","0","-1","0.6","0.87","0","-1","0","0"
"1","17","3","0","0","-1","0.6","0.87","0","-1","0","0"
"1","17","4","0","0","-1","0.7","0.87","0","-1","0","0"
"1","17","5","0","0","-2","0.7","0.87","0","-2","0","0"
"1","17","6","0","0","-1","0.7","0.87","0","-1","0","0"
"1","17","7","157","18","0","0.6","0.87","231.804","6.377","2808.236","2613.604"
"1","17","8","214","71","0","0.6","0.87","389.292","12.323","7375.38","7018.916"
"1","17","9","537","87","1","0.7","0.87","790.435","26.184","14618.546","14005.427"
